,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
51,32,16,1,4,None,43.13395309448242,0.14126110076904297,16384,32768,V100
52,256,2,1,4,None,3.8853836059570312,0.007962942123413086,16384,32768,V100
53,4096,16,1,3,None,3.9661569595336914,0.007947206497192383,16384,32768,V100
0,2048,8,1,1,None,0.004073978401720524,0.16254949569702148,1024,512,V100
1,256,2,1,0,None,0.005293665453791618,0.0014133453369140625,1024,512,V100
2,128,1,1,4,None,0.008438088931143284,0.14093995094299316,1024,512,V100
3,32,16,1,5,None,0.03732729330658913,0.13989877700805664,1024,512,V100
4,16,2,1,3,None,0.05309896543622017,0.12374305725097656,1024,512,V100
5,256,1,1,5,None,0.005421026609838009,0.16261768341064453,1024,512,V100
6,64,32,1,2,None,0.042897868901491165,0.1394486427307129,1024,512,V100
7,4096,16,1,2,None,0.0061530619859695435,0.15844416618347168,1024,512,V100
8,512,4,1,5,None,0.003776566358283162,0.0014514923095703125,1024,512,V100
9,1024,4,1,4,None,0.003611457534134388,0.17044973373413086,1024,512,V100
10,2048,4,1,1,None,0.0044210972264409065,0.0014545917510986328,1024,512,V100
11,64,4,1,4,None,0.014808665961027145,0.13772225379943848,1024,512,V100
12,1024,1,1,1,None,0.0038971907924860716,0.24645781517028809,1024,512,V100
13,16,1,1,1,None,0.05304790660738945,0.13114285469055176,1024,512,V100
14,32,16,1,2,None,0.03722332790493965,0.12964606285095215,1024,512,V100
15,128,32,1,4,None,0.022927794605493546,0.001392364501953125,1024,512,V100
16,4096,2,1,2,None,0.008424286730587482,0.34426450729370117,1024,512,V100
17,256,16,1,0,None,0.006631185300648212,0.1402757167816162,1024,512,V100
18,64,32,1,3,None,0.04289361089468002,0.1424856185913086,1024,512,V100
19,16,8,1,0,None,0.05322340130805969,0.0014195442199707031,1024,512,V100
20,64,16,1,2,None,0.019798066467046738,0.13040924072265625,1024,512,V100
21,64,8,1,1,None,0.014900379814207554,0.13388729095458984,1024,512,V100
22,128,2,1,0,None,0.008401968516409397,0.14543890953063965,1024,512,V100
23,4096,1,1,3,None,0.010269885882735252,0.0016160011291503906,1024,512,V100
24,8192,32,1,3,None,0.010394465178251266,0.16655659675598145,1024,512,V100
25,32,2,1,3,None,0.0275295227766037,0.1427173614501953,1024,512,V100
26,1024,1,1,0,None,0.0038966371212154627,0.2522711753845215,1024,512,V100
27,512,8,1,0,None,0.0039042832795530558,0.14621782302856445,1024,512,V100
28,16,2,1,5,None,0.053097594529390335,0.14398813247680664,1024,512,V100
29,4096,1,1,0,None,0.010297570377588272,0.6517934799194336,1024,512,V100
30,1024,4,1,1,None,0.003619973547756672,0.16485333442687988,1024,512,V100
31,8192,32,1,1,None,0.010395105928182602,0.16382765769958496,1024,512,V100
32,8192,4,1,3,None,0.011986409313976765,0.3440103530883789,1024,512,V100
33,8192,32,1,0,None,0.01040538027882576,0.15481781959533691,1024,512,V100
